hidden_size,dropout,val_accuracy
200,0.1,97.06666667
200,0.2,97.21666667
200,0.3,97.08333333
200,0.4,96.9
200,0.5,96.78333333
400,0.1,97.71666667
400,0.2,97.55
400,0.3,97.35
400,0.4,97.48333333
400,0.5,97.48333333
600,0.1,97.25
600,0.2,97.51666667
600,0.3,97.81666667
600,0.4,97.66666667
600,0.5,97.58333333
800,0.1,97.73333333
800,0.2,97.7
800,0.3,97.83333333
800,0.4,97.65
800,0.5,97.56666667
1000,0.1,97.83333333
1000,0.2,97.56666667
1000,0.3,97.7
1000,0.4,97.58333333
1000,0.5,97.71666667
